timestamp,user_agent,type,device_token,device_type,page,activity
1660667431299,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,
1660667431696,,open_page,,,assess,
1660667438171,,open_page,,,assess,
1660667440916,,open_page,,,assess,
1660667441867,,open_page,,,feed,
1660667447250,,open_page,,,learn,
1660667448901,,open_page,,,assess,
1660667451001,,open_page,,,manage,
1660667453184,,open_page,,,portal,
1660667456801,,open_page,,,assess,
1660667485272,,open_page,,,assess,sgw7gnftwypmzadn2bag
1660667485788,,open_page,,,assess,
1660667587237,,open_page,,,assess,z910mqjp402nxm0ytw5n
1660667587809,,open_page,,,assess,
1660667674160,,open_page,,,assess,p64htcp9nqev3e3g7ar7
1660667674723,,open_page,,,assess,
1660667762183,,open_page,,,assess,0atztk77dzjcrf5bwhy5
1660667762748,,open_page,,,assess,
1660667894044,,open_page,,,assess,pb7kf710tyyvg312qmzy
1660667894843,,open_page,,,assess,
1660667907851,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,
1660667908434,,open_page,,,assess,
1660667938416,,open_page,,,assess,
