timestamp,user_agent,type,device_token,device_type,page,activity
1664299184323,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone14,3",login,e8c05392a9c05ffc9b1d2377f622d04f686e2395102e146e7e8d391a5eee1f0d,iOS,,
1664299185219,,open_page,,,assess,
1664299195488,,open_page,,,feed,
1664299207712,,open_page,,,,
1664299208887,,open_page,,,feed,
1664299214510,,open_page,,,,
1664299427503,,open_page,,,feed,
1664299432460,GPS Failed: The operation couldn’t be completed. (kCLErrorDomain error 1.),"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone14,3",log,iOS
