timestamp,user_agent,type,device_token,device_type,page,activity
1667476624000,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1667476625590,,open_page,,,feed,
1667476893180,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1667476894620,,open_page,,,feed,
1667477349514,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1667477351010,,open_page,,,feed,
1667486716770,,open_page,,,feed,
1667486720860,,open_page,,,feed,
1667486728102,,open_page,,,learn,
1667486729703,,open_page,,,assess,
1667486759332,,open_page,,,assess,qeyb2b4anm05a3ndn5em
1667486760430,,open_page,,,assess,
1667486762158,,open_page,,,,
1667486810969,,open_page,,,assess,
1667486812385,,open_page,,,feed,
1667486814625,,open_page,,,,
1667489848991,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1667489850269,,open_page,,,feed,
1667505702534,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1667505704028,,open_page,,,feed,
1667505785692,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1667505786771,,open_page,,,feed,
1667510388203,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1667510399734,,open_page,,,assess,
1667529594034,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1667529598730,,open_page,,,assess,
1667532062895,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1667532064478,,open_page,,,assess,
