timestamp,user_agent,type,device_token,device_type,page,activity
1663858279767,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1663858304865,,open_page,,,,qeyb2b4anm05a3ndn5em
1663858306634,,open_page,,,assess,
1663858309519,,open_page,,,feed,
1663858314745,,open_page,,,,
1663870852837,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1663870853641,,open_page,,,feed,
1663898478772,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1663898479040,,open_page,,,assess,
1663898481795,,open_page,,,feed,
1663898485639,,open_page,,,learn,
1663898491299,,open_page,,,assess,
1663898493090,,open_page,,,manage,
1663898497501,,open_page,,,portal,
1663898500824,,open_page,,,feed,
1663898502702,,open_page,,,,
1663899959815,,open_page,,,feed,
1663899962042,,open_page,,,feed,
1663899963946,,open_page,,,feed,
1663899975175,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1663899975348,,open_page,,,assess,
1663900059394,,open_page,,,assess,3g54ktk66nfa3h0w81c6
1663900059714,,open_page,,,assess,
1663900150784,,open_page,,,,
1663900156123,,open_page,,,,34j36dmwaebpkdcf4sb0
1663900196775,,open_page,,,assess,34j36dmwaebpkdcf4sb0
1663900197299,,open_page,,,assess,
1663900206059,,open_page,,,assess,txcbx325wqdxndmjf279
1663900206329,,open_page,,,assess,
1663900220460,,open_page,,,assess,qeyb2b4anm05a3ndn5em
1663900220736,,open_page,,,assess,
1663900236465,,open_page,,,assess,qeyb2b4anm05a3ndn5em
1663900236753,,open_page,,,assess,
1663900245185,,open_page,,,,
1663900245433,,open_page,,,assess,
1663900299534,,open_page,,,assess,34j36dmwaebpkdcf4sb0
1663900299829,,open_page,,,assess,
1663900302404,,open_page,,,feed,
1663900307149,,open_page,,,learn,
1663900308982,,open_page,,,assess,
1663900310591,,open_page,,,manage,
1663900315331,,open_page,,,portal,
1663900316936,,open_page,,,feed,
1663900318439,,open_page,,,assess,
1663900326142,,open_page,,,learn,
1663900327595,,open_page,,,feed,
1663900331654,,open_page,,,manage,
1663900333209,,open_page,,,assess,
1663900333949,,open_page,,,learn,
1663900338154,,open_page,,,feed,
1663900341319,,open_page,,,,
1663900343848,,open_page,,,feed,
1663900348430,,open_page,,,,
