timestamp,user_agent,type,device_token,device_type,page,activity
1661477475936,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1661477476134,,open_page,,,assess,
1661477487432,,open_page,,,,
1661477793989,,open_page,,,assess,
1661477799270,,open_page,,,assess,
1661477818074,,open_page,,,assess,
1661477821478,,open_page,,,portal,
1661477897688,,open_page,,,portal,
1661477908880,,open_page,,,portal,
1661477916585,,open_page,,,portal,
1661477919616,,open_page,,,learn,
1661477928966,,open_page,,,feed,
1661477967824,,open_page,,,portal,
1661477969112,,open_page,,,manage,
1661477977523,,open_page,,,,
1661477979290,,open_page,,,manage,
1661477981472,,open_page,,,feed,
1661477984987,,open_page,,,feed,
1661477985597,,open_page,,,learn,
1661477987038,,open_page,,,assess,
1661477987892,,open_page,,,manage,
1661477990653,,open_page,,,,
1661477994069,,open_page,,,manage,
1661477999483,,open_page,,,manage,
1661478000936,,open_page,,,manage,
1661478001837,,open_page,,,portal,
1661478008688,,open_page,,,feed,
1661478019632,,open_page,,,learn,
1661478023995,,open_page,,,assess,
1661478041458,,open_page,,,,
1661478041789,,open_page,,,assess,
1661478047914,,open_page,,,,
1661478064254,,open_page,,,assess,
1661478091013,,open_page,,,,
1661480557045,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1661480557700,,open_page,,,assess,
