timestamp,user_agent,type,device_token,device_type,page,activity
1664617848785,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1664617849696,,open_page,,,assess,
1664632237213,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1664632238472,,open_page,,,assess,
1664633184236,,open_page,,,assess,
1664633185548,,open_page,,,feed,
1664633188443,,open_page,,,,
1664651174670,,open_page,,,feed,
1664651233072,,open_page,,,feed,9vtdfz2xkzztd3hqbyv3
1664651234851,,open_page,,,,
