timestamp,user_agent,type,device_token,device_type,page,activity
1666530727257,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1666530734660,,open_page,,,assess,
1666533963151,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1666533968251,,open_page,,,assess,
1666535049643,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1666535051213,,open_page,,,assess,
1666536941542,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1666536942983,,open_page,,,assess,
1666539816019,,open_page,,,assess,
1666539817051,,open_page,,,feed,
1666539821824,,open_page,,,,
1666579858712,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1666579866405,,open_page,,,assess,
1666579868132,,open_page,,,feed,
1666579900150,,open_page,,,feed,qeyb2b4anm05a3ndn5em
1666579901205,,open_page,,,feed,
1666579903950,,open_page,,,,
