timestamp,user_agent,type,device_token,device_type,page,activity
1665748970388,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665748971670,,open_page,,,feed,
1665749377615,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665749379056,,open_page,,,feed,
1665749998561,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665749999746,,open_page,,,feed,
1665750785862,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665750786983,,open_page,,,feed,
1665756820698,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665756821651,,open_page,,,feed,
1665757093558,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665757094657,,open_page,,,feed,
1665757983787,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665757984706,,open_page,,,feed,
1665759107061,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665759108286,,open_page,,,feed,
1665759670864,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665759672046,,open_page,,,feed,
1665767652019,,open_page,,,feed,
1665767653132,,open_page,,,feed,
1665767654135,,open_page,,,feed,
1665767658113,,open_page,,,feed,
1665767659701,,open_page,,,learn,
1665767661060,,open_page,,,assess,
1665767662665,,open_page,,,feed,
1665767665053,,open_page,,,feed,
1665767666556,,open_page,,,portal,
1665767668815,,open_page,,,feed,
1665767670131,,open_page,,,feed,
1665767670916,,open_page,,,learn,
1665767672667,,open_page,,,,
1665798705191,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1665798706597,,open_page,,,learn,
