timestamp,user_agent,type,device_token,device_type,page,activity
1667765541968,"NativeCore 2022.7.13; iOS 16.0; iPhone iPhone13,4",login,de021987b5d9e0037c0424e61ec19372bffa8bc44d1b3caa80ec2354ee13577a,iOS,,
1667765546644,,open_page,,,assess,
1667765569035,,open_page,,,assess,nhzeg7x4hfezsck16fgw
1667765569967,,open_page,,,assess,
1667765592451,,open_page,,,assess,5zjg4qn1cv4gbsrnxkf3
1667765593416,,open_page,,,assess,
1667765649585,,open_page,,,assess,dn4650dh6vp51k367499
1667765650557,,open_page,,,assess,
1667765728415,,open_page,,,assess,bz9tfh3a7ndmw1h3spye
1667765729407,,open_page,,,assess,
1667765735951,,open_page,,,assess,
1667765786999,,open_page,,,assess,kszhdrwzxcta3k6j4c01
1667765787870,,open_page,,,assess,
1667765790413,,open_page,,,,
