timestamp,user_agent,type,device_token,device_type,page,activity
1664691373630,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,
1664691376195,,open_page,,,assess,
1664693260578,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,
1664693261328,,open_page,,,assess,
1664730570276,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,
1664730571786,,open_page,,,assess,
1664740641723,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,
1664744717129,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,
1664744719205,,open_page,,,assess,
1664749295603,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,
1664749298376,,open_page,,,assess,
1664752740686,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone10,6",login,75c0d9d1a28a86b1241187c2038118e176d79b707466187cb2d68204aa5e92e4,iOS,,
1664752742375,,open_page,,,assess,
