timestamp,user_agent,type,device_token,device_type,page,activity
1660428736082,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
1660428737302,,open_page,,,assess,
1660428799168,,open_page,,,learn,
1660428800088,,open_page,,,learn,
1660428804254,,open_page,,,learn,
1660428810239,,open_page,,,learn,
1660428813747,,open_page,,,learn,
1660428818431,,open_page,,,learn,
1660428838185,,open_page,,,,
1660431966988,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
1660431968590,,open_page,,,learn,
1660444822550,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
1660444823465,,open_page,,,learn,
