timestamp,user_agent,type,device_token,device_type,page,activity
1663392971605,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
1663392973504,,open_page,,,assess,
1663428795020,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
1663428796450,,open_page,,,assess,
1663432839607,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
1663432841052,,open_page,,,assess,
1663461515047,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
1663461516480,,open_page,,,assess,
1663467323595,,open_page,,,assess,
1663467339945,,open_page,,,assess,wehaw2j27dv7t9n1vf5w
1663467341373,,open_page,,,assess,
1663467584061,,open_page,,,assess,vxd1rs4gg14czg1zafve
1663467586003,,open_page,,,assess,
1663467651932,,open_page,,,assess,3a8t1bpppc9rj671xz7b
1663467653481,,open_page,,,assess,
1663467798262,,open_page,,,assess,pccfrtmmeg3e2ysd611w
1663467799761,,open_page,,,assess,
1663468214161,,open_page,,,assess,wh8bg4kgvy79x6kkcgt1
1663468216818,,open_page,,,assess,
1663468220988,,open_page,,,,
1663468221486,,open_page,,,assess,
1663468223561,,open_page,,,assess,
1663468226328,,open_page,,,manage,
1663468232944,,open_page,,,portal,
1663468234527,,open_page,,,learn,
1663468235494,,open_page,,,feed,
1663468262163,,open_page,,,manage,
1663468266571,,open_page,,,,
1663470246729,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
1663470247917,,open_page,,,manage,
1663470913525,,open_page,,,manage,
1663470915549,,open_page,,,portal,
1663470930889,,open_page,,,manage,
1663470941428,,open_page,,,assess,
1663470947843,,open_page,,,learn,
1663470952743,,open_page,,,,
