timestamp,user_agent,type,device_token,device_type,page,activity
1660773758625,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
1660773759095,,open_page,,,assess,
1660774725584,,open_page,,,assess,
1660774845986,,open_page,,,assess,wh8bg4kgvy79x6kkcgt1
1660774856060,,open_page,,,,
1660784489853,"NativeCore 2022.7.13; iOS 15.5; iPhone iPhone14,3",login,f5e2088fc3a1c61249ac3788f067ade4520e43eafd3d75e197e9ff7625674266,iOS,,
